ID,Provider,Processor,Resources,vCPU,RAM,Disk,Bandwidth TB,Speed Gbit,Currency,Price (0% curr),EUR (0%),EUR (25%),Ratio 2:1,Ratio 1:1,Ratio 1:2,Ratio 1:3,Avg,Provider Avg,Comments,Locations
1,C1V,x86,Shared,2,2,40,20,1,EUR,2.5,2.5,3.125,0.416666667,0.625,0.416666667,0.3125,0.442708333,0.31782371,SSD,ITA
2,C1V,x86,Shared,2,4,60,20,1,EUR,2.8,2.8,3.5,0.35,0.466666667,0.28,0.2,0.324166667,0.31782371,,ITA
3,C1V,x86,Shared,4,8,100,20,1,EUR,5,5,6.25,0.3125,0.416666667,0.25,0.178571429,0.289434524,0.31782371,,ITA
4,C1V,x86,Shared,4,16,150,20,1,EUR,7,7,8.75,0.291666667,0.35,0.194444444,0.134615385,0.242681624,0.31782371,,ITA
5,C1V,x86,Shared,2,4,40,20,2.5,EUR,3,3,3.75,0.375,0.5,0.3,0.214285714,0.347321429,0.31782371,NVME,ITA
6,C1V,x86,Shared,2,8,80,25,2.5,EUR,3.7,3.7,4.625,0.308333333,0.37,0.205555556,0.142307692,0.256549145,0.31782371,,ITA
7,C1V,x86,Shared,4,8,120,30,2.5,EUR,6.5,6.5,8.125,0.40625,0.541666667,0.325,0.232142857,0.376264881,0.31782371,,ITA
8,C1V,x86,Shared,4,16,160,35,2.5,EUR,7.5,7.5,9.375,0.3125,0.375,0.208333333,0.144230769,0.260016026,0.31782371,,ITA
9,C1V,x86,Shared,8,32,320,40,2.5,EUR,15,15,18.75,0.3125,0.375,0.208333333,0.144230769,0.260016026,0.31782371,,ITA
10,C1V,x86,Shared,16,32,400,50,2.5,EUR,25,25,31.25,0.390625,0.520833333,0.3125,0.223214286,0.361793155,0.31782371,,ITA
11,C1V,x86,Shared,1,2,20,10,1,EUR,0.82,0.82,1.025,0.205,0.273333333,0.164,0.117142857,0.189869048,0.31782371,"NVME, IPv6-Only",ITA
12,C1V,x86,Shared,1,4,30,12,1,EUR,2,2,2.5,0.333333333,0.4,0.222222222,0.153846154,0.277350427,0.31782371,,ITA
13,C1V,x86,Shared,2,4,50,15,1,EUR,4.1,4.1,5.125,0.5125,0.683333333,0.41,0.292857143,0.474672619,0.31782371,,ITA
